Model,MAE_Quantity,MAPE_Quantity,R2_Quantity,MAE_COG,MAPE_COG,R2_COG
Linear Regression,1.1483944714546117,58.68515906641041,0.12921832101707387,1892.2722866642366,176.95521078731417,0.03870580296207671
Ridge Regression,1.1484319588981884,58.68933081503434,0.12922588430123605,1892.3220767300854,176.95621773553233,0.03868339826682621
Gradient Boosting,1.2175515208602334,65.30794034060439,-0.06935364777632702,2115.999153685179,200.0,-0.18083309399356406
SARIMA,649.2061327876729,64.25475729631826,,778132.9542025336,84.01786803245083,
